title,company,location,apply_link
Native Korean Speaking Software QA Test Engineer,TikTok,서울 종로3가역,https://kr.indeed.com/viewjob?jk=c0c6a53781018daf
데이터 분석 전문가,LG유플러스,서울특별시,https://kr.indeed.com/viewjob?jk=3832fc8fdab8f574
Deep Learning Junior R&D Engineer,Intel,서울,https://kr.indeed.com/viewjob?jk=59fc4429a494f5a3
DX(Digital Transformation)분야 경력사원 (법인Staff),LG화학,서울특별시,https://kr.indeed.com/viewjob?jk=7c3a3f4b0dd0d04a
"빅데이터, Python 외 신입 정규직",주)씽크풀,서울 영등포구,https://kr.indeed.com/viewjob?jk=f91bdb1160ad64d2
MI(Market Intelligence)담당 마케팅 전략 경력사원,LG전자,서울 영등포구,https://kr.indeed.com/viewjob?jk=54e0d08c99dcf507
"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터) 경력직",한국정보기술단,과천 과천시,https://kr.indeed.com/viewjob?jk=9fe4755841bec8ce
2021 AVIKUS 연구개발부문 신입 및 경력사원,현대중공업그룹,서울,https://kr.indeed.com/viewjob?jk=c831ea201f7dc146
2020 Customs & Foreign Trade Specialist,비테스코테크놀로지스코리아,경기도 이천,https://kr.indeed.com/viewjob?jk=7e4a30dc8d2bc1cf
데이터 엔지니어,RIDI Corp,서울,https://kr.indeed.com/viewjob?jk=f0cf76b36f62ff2a
[상시 ] Data Scientist (대리급/과-차장급/정규직),라이나생명보험,서울 종로구,https://kr.indeed.com/viewjob?jk=e9ac1a8708b8e784
MBC 방송IT센터 소프트웨어 개발 담당,문화방송,서울 마포구,https://kr.indeed.com/viewjob?jk=68ae2d7557736970
"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장,서울 강남구,https://kr.indeed.com/viewjob?jk=e0bd768490336a11
각 분야별 인재 Pool 등록,지투알,서울,https://kr.indeed.com/viewjob?jk=e631d46f39019d13
Deep Learning Engineer Intern,Intel,서울,https://kr.indeed.com/viewjob?jk=ae775fd3698cfd07
Quantitative Researcher,자산운용: Quantitative Research,서울,https://kr.indeed.com/viewjob?jk=7453bfdc26273cd9
데이터 분석가/사이언티스트(신입/인턴 가능),쏘카,대한민국,https://kr.indeed.com/viewjob?jk=55584c627df1acaa
"[정규직] 데이터 사이언스 (생명정보학, 화학정보학, 기계학습)",카이팜,서울 서대문구,https://kr.indeed.com/viewjob?jk=b6712899b21c90a9
MongoDB 능숙한 Python 웹 개발자 - 정규직,코리아뉴스와이어,서울 중구,https://kr.indeed.com/viewjob?jk=2f8a6bbca95a18ce
솔루션 개발자,고도소프트,서울 구로구,https://kr.indeed.com/viewjob?jk=ce97cc7e1904d7ff
현대무벡스 경력사원 상시,현대무벡스,서울 종로구,https://kr.indeed.com/viewjob?jk=d4c52ba1a491a8b9
기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/viewjob?jk=71c47ac87bb4087e
(주)동진쎄미켐 IT(통계/데이터 분석 교육 보조) 신입사원,동진쎄미켐,서울 마포구,https://kr.indeed.com/viewjob?jk=f87bea02bfb2bd0c
빅데이터 분석(머신러닝/딥러닝) 컨설턴트 정규직,디앤아이컨설팅,서울 동대문구,https://kr.indeed.com/viewjob?jk=da9acd85bb0bbe90
"Python, JAVA 외 신입/경력 정규직, 계약직, 프리랜서 외",블루닷,서울 강남구,https://kr.indeed.com/viewjob?jk=d2603c1cfe3f3d27
2021 Market Data Analyst - Seoul,Bloomberg,서울,https://kr.indeed.com/viewjob?jk=5b73d7ce16a8338a
"[Search] 파파고 머신러닝(자연어처리, 컴퓨터비전) 엔지니어 (신입)",네이버,서울,https://kr.indeed.com/viewjob?jk=c6f624615d1e3da4
Data Science 컨설턴트 - 글로벌 컨설팅펌,에스에프인촌,서울 서초구,https://kr.indeed.com/viewjob?jk=3c27946caa0d99ba
[대기업 계열사] 데이터 분석 전문가,TrueHR,서울 중구,https://kr.indeed.com/viewjob?jk=6544800fd0e099e1
[진행중]우리은행 AI사업부 전문직(AI알고리즘 고도화) 채용공고,우리은행,서울 회현동,https://kr.indeed.com/viewjob?jk=8b191f9812931802
"Python, 데이터분석 외 경력 정규직",에임즈인터내셔널코리아,서울 강남구,https://kr.indeed.com/viewjob?jk=1a2885a205ae2400
디지털 각 부문별 경력사원,지투알,서울,https://kr.indeed.com/viewjob?jk=5aac8a91ba81d624
2020년 석/박사 [산업분석],현대글로비스,서울 강남구,https://kr.indeed.com/viewjob?jk=cef5f2b06f1c5370
"인공지능(AI), 머신러닝(ML) 외 신입/경력 정규직",시스메틱,서울 영등포구,https://kr.indeed.com/viewjob?jk=0b2f8d9e4a9f23fc
Associate,주식회사 지니얼로지,서울,https://kr.indeed.com/viewjob?jk=115f62e82db4dace
Content Producer,Codeit,서울,https://kr.indeed.com/viewjob?jk=4623c0f018a828e3
2021 Global Data Internship - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/viewjob?jk=18f62dc644a89e0c
2021년 신입/경력직,다나와,서울 양천구,https://kr.indeed.com/viewjob?jk=29c6b79d1a7d446d
Data analytics & Ad Operations manager,Dentsu Aegis Network,서울,https://kr.indeed.com/viewjob?jk=f82b428f076301bc
2021 IMB Dx 각 부분 직원,아이엠비디엑스,서울 금천구,https://kr.indeed.com/viewjob?jk=27dcadc82a202480
퀀트 개발자 (Quant Developer),ATZ Inc.,서울,https://kr.indeed.com/viewjob?jk=27ea6faf6a8516fd
[개발자] 꿈 찾아드립니다. 저희와 함께하세요.,ICON,서울,https://kr.indeed.com/viewjob?jk=7bdf7f0af8003540
[기술기획] 클라우드 플랫폼 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=2372de2fcdcdd088
[R&D부문 경력사원 ],현대오토에버,서울 강남구,https://kr.indeed.com/viewjob?jk=f79c5af6aba0b1d2
11번가 System Engineer 분야,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=c24c0a4d4c4d3f5a
Businss Analyst,eBay Inc.,서울,https://kr.indeed.com/viewjob?jk=034b9e008ef26aea
자연어처리전문가 금융챗봇 만들어 갈 엔지니어,파운트,서울 충정로역,https://kr.indeed.com/viewjob?jk=a50fce6cc2cb57c9
신한AI 인공지능(AI) 인력,신한에이아이,서울 영등포구,https://kr.indeed.com/viewjob?jk=a2b8aae664300392
[그룹사 대기업] 페이먼트 플랫폼 개발 및 운영,제이앤피에이치알컨설팅,서울,https://kr.indeed.com/viewjob?jk=2579c2660d6538ee
[AI/Lab] AI 데이터 분석 엔지니어(마케팅 분야),버즈니,서울,https://kr.indeed.com/viewjob?jk=71703965b745ee4a
"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔,서울 영등포구,https://kr.indeed.com/viewjob?jk=649ccf047c868778
"R&D Engineer, Sr I",Synopsys,서울,https://kr.indeed.com/viewjob?jk=4a65a5779d9c9e2a
[금호타이어] 21년 1월 수시,금호타이어,광주 광산구,https://kr.indeed.com/viewjob?jk=fc76a3924d8601a4
[전문연구요원] 빅데이터 엔지니어(신입/경력),웹젠,성남 분당구,https://kr.indeed.com/viewjob?jk=03452de7c4b35855
21년 윈스 공채 (신입/경력),윈스,성남 분당구,https://kr.indeed.com/viewjob?jk=af1060d4d417dcf0
[인재풀] 아티스트,Electronic Arts,서울,https://kr.indeed.com/viewjob?jk=aac8e9355cb855ac
[Search] Knowledge Base Applications (신입),네이버,서울,https://kr.indeed.com/viewjob?jk=23dfc13905f7fcc0
[Janssen] Data Scientist,Johnson & Johnson Family of Companies,서울,https://kr.indeed.com/viewjob?jk=4bd70fb8a220d90d
2020년 하반기 영업/기획/마케팅/개발 부문,아우토크립트,서울 영등포구,https://kr.indeed.com/viewjob?jk=4e91309fc89e9534
[웹앱 개발자 ] 백엔드 / Python / PHP / C / C++,솔리도스,서울 강남구,https://kr.indeed.com/viewjob?jk=bffe9416fe824de1
빅데이터 및 AI 분석/개발 경력사원,GS ITM,서울 종로구,https://kr.indeed.com/viewjob?jk=6eb0aa717950d771
AI/빅데이터 (리더급) 국내 대기업,국내 대기업,경기도,https://kr.indeed.com/viewjob?jk=50bdcec0bd5965c1
Data Analyst,IQVIA,서울,https://kr.indeed.com/viewjob?jk=2c4c5856662783e7
Software Engineer Intern,Intel,서울,https://kr.indeed.com/viewjob?jk=425ed567788202a3
Data Engineer(신입),PUBG,서울,https://kr.indeed.com/viewjob?jk=210243e0776dc26f
Principal Business Analyst (Retail Program Management),Coupang,서울,https://kr.indeed.com/viewjob?jk=009995c23a8dfc72
Applications Engineer (Library Characterization),Synopsys,서울,https://kr.indeed.com/viewjob?jk=8c8700db243d1a3c
백엔드 파운트 시스템 엔지니어 (현재 급여수준 이상 보장),파운트,서울 충정로역,https://kr.indeed.com/viewjob?jk=d6c05c588971df5a
글로벌 소셜카지노 부문 사업PM,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=4665562997b87ff0
반도체 디자인 검증 엔지니어,- 10년 연혁의 팹리스기업,서울 강남구,https://kr.indeed.com/viewjob?jk=093b1546d37ec7f5
Data Analyst,Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=6a062e6906aadca2
Cross Border Ecommerce - Business Intelligence (Based in Seoul),Shopee,서울,https://kr.indeed.com/viewjob?jk=b574f1454ae36aab
Analytics Specialist,MightyHive,서울,https://kr.indeed.com/viewjob?jk=419692b3ddb34768
8퍼센트 개발자 (신입/경력),8퍼센트,서울 종로구,https://kr.indeed.com/viewjob?jk=8af26b37623864c4
Machine Learning Research - Speech Recognition,Qualcomm Korea YH,서울,https://kr.indeed.com/viewjob?jk=19b7736d5aa3f7e5
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/viewjob?jk=55a19c92c845685e
풀무원녹즙 PDM사업부 온라인쇼핑몰 시스템 기획/개발 경력사원 채용,풀무원,서울특별시,https://kr.indeed.com/viewjob?jk=51fd7b720e1faf58
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=eeb9fe1c361f0758
21년 전문연구요원 (AI엔지니어),Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=69ab0f58743cb713
Machine Learning Software Engineer - Embedded-AI-Framework,Qualcomm Korea YH,서울,https://kr.indeed.com/viewjob?jk=b1376913a965e740
